customer_id,score
SYNID0200117193,1.000000
SYNID0108607990,1.000000
SYNID0108756726,1.000000
SYNID0107724372,1.000000
SYNID0200156920,1.000000
SYNID0100188584,1.000000
SYNID0108548082,1.000000
SYNID0104224659,1.000000
SYNID0200708188,1.000000
SYNID0200124670,1.000000
SYNID0200607545,1.000000
SYNID0200232944,1.000000
SYNID0102406729,1.000000
SYNID0105613873,1.000000
SYNID0100462255,1.000000
SYNID0107006738,1.000000
SYNID0106216182,1.000000
SYNID0101304315,1.000000
SYNID0106896024,1.000000
SYNID0200369865,1.000000
SYNID0102397665,1.000000
SYNID0107261742,1.000000
SYNID0200819773,1.000000
SYNID0200900452,1.000000
SYNID0200819808,1.000000
SYNID0200291635,1.000000
SYNID0200291936,1.000000
SYNID0200371176,1.000000
SYNID0200875008,1.000000
SYNID0200123002,1.000000
SYNID0200892597,1.000000
SYNID0101324076,1.000000
SYNID0200900422,1.000000
SYNID0200370512,1.000000
SYNID0105201702,1.000000
SYNID0108865361,1.000000
SYNID0100732074,1.000000
SYNID0106298935,1.000000
SYNID0108763034,1.000000
SYNID0109020321,1.000000
SYNID0200034847,1.000000
SYNID0200127468,1.000000
SYNID0200856938,1.000000
SYNID0103239933,1.000000
SYNID0200032709,1.000000
SYNID0104162448,1.000000
SYNID0200298640,1.000000
SYNID0106617330,1.000000
SYNID0200657979,1.000000
SYNID0102076313,1.000000
SYNID0109020068,1.000000
SYNID0104156413,1.000000
SYNID0106472766,1.000000
SYNID0200301113,1.000000
SYNID0200030338,1.000000
SYNID0200488215,1.000000
SYNID0105855518,1.000000
SYNID0200774950,1.000000
SYNID0106998615,1.000000
SYNID0200704471,1.000000
SYNID0109005690,1.000000
SYNID0108073701,1.000000
SYNID0100874530,1.000000
SYNID0105243228,1.000000
SYNID0200592858,1.000000
SYNID0106533083,1.000000
SYNID0104190603,1.000000
SYNID0200033452,1.000000
SYNID0200126633,1.000000
SYNID0105802506,1.000000
SYNID0200762295,1.000000
SYNID0103672272,1.000000
SYNID0104184688,1.000000
SYNID0200917079,1.000000
SYNID0102419787,1.000000
SYNID0200364475,1.000000
SYNID0200297642,1.000000
SYNID0200529149,1.000000
SYNID0107460502,1.000000
SYNID0105463235,1.000000
SYNID0200983193,1.000000
SYNID0102374106,1.000000
SYNID0200499487,1.000000
SYNID0106130686,1.000000
SYNID0101352392,1.000000
SYNID0200644861,1.000000
SYNID0102031311,1.000000
SYNID0200790201,1.000000
SYNID0200201022,1.000000
SYNID0108735087,1.000000
SYNID0105868331,1.000000
SYNID0200876317,1.000000
SYNID0200161910,1.000000
SYNID0100685974,1.000000
SYNID0200545803,1.000000
SYNID0103825298,1.000000
SYNID0106308295,1.000000
SYNID0200199373,1.000000
SYNID0101563237,1.000000
SYNID0107881088,1.000000
SYNID0200055253,1.000000
SYNID0200114628,1.000000
SYNID0200196852,1.000000
SYNID0200283209,1.000000
SYNID0108837702,1.000000
SYNID0200965983,1.000000
SYNID0104352899,1.000000
SYNID0100068815,1.000000
SYNID0200878684,1.000000
SYNID0108495552,1.000000
SYNID0103569299,1.000000
SYNID0108730304,1.000000
SYNID0200054481,1.000000
SYNID0200547051,1.000000
SYNID0200054159,1.000000
SYNID0200380426,1.000000
SYNID0102026895,1.000000
SYNID0200047635,1.000000
SYNID0200497755,1.000000
SYNID0200238787,1.000000
SYNID0107153762,1.000000
SYNID0200159270,1.000000
SYNID0200453706,1.000000
SYNID0108536532,1.000000
SYNID0108748502,1.000000
SYNID0200045450,1.000000
SYNID0200712083,1.000000
SYNID0200044972,1.000000
SYNID0101089182,1.000000
SYNID0200646302,1.000000
SYNID0101092403,1.000000
SYNID0200372731,1.000000
SYNID0106886885,1.000000
SYNID0200044425,1.000000
SYNID0200711069,1.000000
SYNID0102909519,1.000000
SYNID0200979824,1.000000
SYNID0104304053,1.000000
SYNID0103610845,1.000000
SYNID0200289290,1.000000
SYNID0200648249,1.000000
SYNID0109079990,1.000000
SYNID0106645562,1.000000
SYNID0108599624,1.000000
SYNID0100455310,1.000000
SYNID0200760921,1.000000
SYNID0200376279,1.000000
SYNID0200119832,1.000000
SYNID0200452952,1.000000
SYNID0200374359,1.000000
SYNID0200595959,1.000000
SYNID0200713131,1.000000
SYNID0106145423,1.000000
SYNID0102552971,1.000000
SYNID0200528685,1.000000
SYNID0200760988,1.000000
SYNID0200659852,1.000000
SYNID0100615891,1.000000
SYNID0200919243,1.000000
SYNID0200480645,1.000000
SYNID0200693830,1.000000
SYNID0105390949,1.000000
SYNID0101804275,1.000000
SYNID0101989535,1.000000
SYNID0200348080,1.000000
SYNID0103761809,1.000000
SYNID0200868532,1.000000
SYNID0107224735,1.000000
SYNID0106254629,1.000000
SYNID0200896080,1.000000
SYNID0103897217,1.000000
SYNID0107691066,1.000000
SYNID0200224430,1.000000
SYNID0200673766,1.000000
SYNID0200345407,1.000000
SYNID0102582383,1.000000
SYNID0200579641,1.000000
SYNID0200348827,1.000000
SYNID0106192128,1.000000
SYNID0200894351,1.000000
SYNID0105560855,1.000000
SYNID0102479263,1.000000
SYNID0108212273,1.000000
SYNID0102061912,1.000000
SYNID0103215342,1.000000
SYNID0103276373,1.000000
SYNID0100477810,1.000000
SYNID0105816357,1.000000
SYNID0109858702,1.000000
SYNID0200672357,1.000000
SYNID0200349508,1.000000
SYNID0200147464,1.000000
SYNID0200212879,1.000000
SYNID0103994170,1.000000
SYNID0105388405,1.000000
SYNID0200533556,1.000000
SYNID0109876397,1.000000
SYNID0200140222,1.000000
SYNID0107223323,1.000000
SYNID0105994960,1.000000
SYNID0200582794,1.000000
SYNID0103780776,1.000000
SYNID0200137857,1.000000
SYNID0200896931,1.000000
SYNID0200681268,1.000000
SYNID0103917187,1.000000
SYNID0106952663,1.000000
SYNID0200139315,1.000000
SYNID0108359922,1.000000
SYNID0105525386,1.000000
SYNID0105525176,1.000000
SYNID0103913281,1.000000
SYNID0103911148,1.000000
SYNID0107908969,1.000000
SYNID0101186911,1.000000
SYNID0200468541,1.000000
SYNID0101214657,1.000000
SYNID0200339091,1.000000
SYNID0200221305,1.000000
SYNID0200001747,1.000000
SYNID0107904347,1.000000
SYNID0200146756,1.000000
SYNID0108807442,1.000000
SYNID0105418607,1.000000
SYNID0200862270,1.000000
SYNID0200005059,1.000000
SYNID0200004631,1.000000
SYNID0200691555,1.000000
SYNID0200341631,1.000000
SYNID0102008497,1.000000
SYNID0200003338,1.000000
SYNID0200960540,1.000000
SYNID0200136950,1.000000
SYNID0200136965,1.000000
SYNID0108531174,1.000000
SYNID0108402653,1.000000
SYNID0200482948,1.000000
SYNID0200360750,1.000000
SYNID0109785283,1.000000
SYNID0101572322,1.000000
SYNID0200763817,1.000000
SYNID0104104732,1.000000
SYNID0106279712,1.000000
SYNID0109775473,1.000000
SYNID0101126553,1.000000
SYNID0200774161,1.000000
SYNID0108962674,1.000000
SYNID0200541801,1.000000
SYNID0109791896,1.000000
SYNID0106766389,1.000000
SYNID0200701746,1.000000
SYNID0106177959,1.000000
SYNID0108412865,1.000000
SYNID0109798004,1.000000
SYNID0108955444,1.000000
SYNID0108415730,1.000000
SYNID0200358747,1.000000
SYNID0200577936,1.000000
SYNID0100469331,1.000000
SYNID0200830097,1.000000
SYNID0200961883,1.000000
SYNID0105283322,1.000000
SYNID0200703759,1.000000
SYNID0107888521,1.000000
SYNID0107946592,1.000000
SYNID0200974199,1.000000
SYNID0108544997,1.000000
SYNID0105462917,1.000000
SYNID0105289515,1.000000
SYNID0103203861,1.000000
SYNID0200127846,1.000000
SYNID0109771736,1.000000
SYNID0106473725,1.000000
SYNID0200917657,1.000000
SYNID0100470104,1.000000
SYNID0200577547,1.000000
SYNID0101774569,1.000000
SYNID0200356191,1.000000
SYNID0108930652,1.000000
SYNID0102460930,1.000000
SYNID0200015561,1.000000
SYNID0108405808,1.000000
SYNID0200015031,1.000000
SYNID0200483554,1.000000
SYNID0200957885,1.000000
SYNID0200353109,1.000000
SYNID0106964664,1.000000
SYNID0200532000,1.000000
SYNID0200667439,1.000000
SYNID0200311661,1.000000
SYNID0200859953,1.000000
SYNID0107751959,1.000000
SYNID0200011816,1.000000
SYNID0107472194,1.000000
SYNID0105359473,1.000000
SYNID0109920029,1.000000
SYNID0200957659,1.000000
SYNID0200871570,1.000000
SYNID0102459553,1.000000
SYNID0200487040,1.000000
SYNID0200532394,1.000000
SYNID0200308177,1.000000
SYNID0200458134,1.000000
SYNID0200591017,1.000000
SYNID0103893826,1.000000
SYNID0108942485,1.000000
SYNID0200020394,1.000000
SYNID0108780962,1.000000
SYNID0107249429,1.000000
SYNID0105579175,1.000000
SYNID0108543336,1.000000
SYNID0200018964,1.000000
SYNID0200486637,1.000000
SYNID0104038735,1.000000
SYNID0200196679,1.000000
SYNID0200197281,1.000000
SYNID0101830517,1.000000
SYNID0200784660,1.000000
SYNID0108282063,1.000000
SYNID0200839931,1.000000
SYNID0101902727,1.000000
SYNID0200105352,1.000000
SYNID0109420047,1.000000
SYNID0100023889,1.000000
SYNID0200846076,1.000000
SYNID0200082303,1.000000
SYNID0200408886,1.000000
SYNID0109421543,1.000000
SYNID0100000431,1.000000
SYNID0100719276,1.000000
SYNID0105900863,1.000000
SYNID0106416221,1.000000
SYNID0200262669,1.000000
SYNID0200559994,1.000000
SYNID0200619627,1.000000
SYNID0200187435,1.000000
SYNID0200882642,1.000000
SYNID0102185787,1.000000
SYNID0104649513,1.000000
SYNID0200087737,1.000000
SYNID0200935707,1.000000
SYNID0107822235,1.000000
SYNID0104647652,1.000000
SYNID0200249449,1.000000
SYNID0200505910,1.000000
SYNID0107173210,1.000000
SYNID0105486004,1.000000
SYNID0200619086,1.000000
SYNID0109401575,1.000000
SYNID0200104356,1.000000
SYNID0107432582,1.000000
SYNID0103451315,1.000000
SYNID0200754276,1.000000
SYNID0100140164,1.000000
SYNID0108853100,1.000000
SYNID0103459884,1.000000
SYNID0200176257,1.000000
SYNID0200816255,1.000000
SYNID0200437097,1.000000
